preset_id,word_id
0ea81186-374c-4a4d-8d47-51ced2403a29,5434
0ea81186-374c-4a4d-8d47-51ced2403a29,5444
0ea81186-374c-4a4d-8d47-51ced2403a29,5456
0ea81186-374c-4a4d-8d47-51ced2403a29,5457
0ea81186-374c-4a4d-8d47-51ced2403a29,5996
0ea81186-374c-4a4d-8d47-51ced2403a29,6106
0ea81186-374c-4a4d-8d47-51ced2403a29,6109
0ea81186-374c-4a4d-8d47-51ced2403a29,6119
0ea81186-374c-4a4d-8d47-51ced2403a29,6125
0ea81186-374c-4a4d-8d47-51ced2403a29,6141
0ea81186-374c-4a4d-8d47-51ced2403a29,6143
0ea81186-374c-4a4d-8d47-51ced2403a29,6178
0ea81186-374c-4a4d-8d47-51ced2403a29,6181
0ea81186-374c-4a4d-8d47-51ced2403a29,118207
0ea81186-374c-4a4d-8d47-51ced2403a29,118210
0ea81186-374c-4a4d-8d47-51ced2403a29,6220
0ea81186-374c-4a4d-8d47-51ced2403a29,6448
0ea81186-374c-4a4d-8d47-51ced2403a29,86964
0ea81186-374c-4a4d-8d47-51ced2403a29,6779
0ea81186-374c-4a4d-8d47-51ced2403a29,6798
0ea81186-374c-4a4d-8d47-51ced2403a29,6839
0ea81186-374c-4a4d-8d47-51ced2403a29,6851
0ea81186-374c-4a4d-8d47-51ced2403a29,7085
0ea81186-374c-4a4d-8d47-51ced2403a29,7167
0ea81186-374c-4a4d-8d47-51ced2403a29,7622
0ea81186-374c-4a4d-8d47-51ced2403a29,7745
0ea81186-374c-4a4d-8d47-51ced2403a29,7893
0ea81186-374c-4a4d-8d47-51ced2403a29,8024
0ea81186-374c-4a4d-8d47-51ced2403a29,8208
0ea81186-374c-4a4d-8d47-51ced2403a29,277045
0ea81186-374c-4a4d-8d47-51ced2403a29,8263
0ea81186-374c-4a4d-8d47-51ced2403a29,8275
0ea81186-374c-4a4d-8d47-51ced2403a29,8523
0ea81186-374c-4a4d-8d47-51ced2403a29,8575
0ea81186-374c-4a4d-8d47-51ced2403a29,8596
0ea81186-374c-4a4d-8d47-51ced2403a29,8758
0ea81186-374c-4a4d-8d47-51ced2403a29,8784
0ea81186-374c-4a4d-8d47-51ced2403a29,8854
0ea81186-374c-4a4d-8d47-51ced2403a29,9040
0ea81186-374c-4a4d-8d47-51ced2403a29,8701
0ea81186-374c-4a4d-8d47-51ced2403a29,260215
0ea81186-374c-4a4d-8d47-51ced2403a29,9236
0ea81186-374c-4a4d-8d47-51ced2403a29,9256
0ea81186-374c-4a4d-8d47-51ced2403a29,9268
0ea81186-374c-4a4d-8d47-51ced2403a29,9445
0ea81186-374c-4a4d-8d47-51ced2403a29,9453
0ea81186-374c-4a4d-8d47-51ced2403a29,9481
0ea81186-374c-4a4d-8d47-51ced2403a29,9483
0ea81186-374c-4a4d-8d47-51ced2403a29,9489
0ea81186-374c-4a4d-8d47-51ced2403a29,9492
0ea81186-374c-4a4d-8d47-51ced2403a29,9551
0ea81186-374c-4a4d-8d47-51ced2403a29,169016
0ea81186-374c-4a4d-8d47-51ced2403a29,239511
0ea81186-374c-4a4d-8d47-51ced2403a29,9636
0ea81186-374c-4a4d-8d47-51ced2403a29,9865
0ea81186-374c-4a4d-8d47-51ced2403a29,9894
0ea81186-374c-4a4d-8d47-51ced2403a29,9899
0ea81186-374c-4a4d-8d47-51ced2403a29,9905
0ea81186-374c-4a4d-8d47-51ced2403a29,9983
0ea81186-374c-4a4d-8d47-51ced2403a29,10023
0ea81186-374c-4a4d-8d47-51ced2403a29,10030
0ea81186-374c-4a4d-8d47-51ced2403a29,10038
0ea81186-374c-4a4d-8d47-51ced2403a29,10036
0ea81186-374c-4a4d-8d47-51ced2403a29,10044
0ea81186-374c-4a4d-8d47-51ced2403a29,281546
0ea81186-374c-4a4d-8d47-51ced2403a29,10241
0ea81186-374c-4a4d-8d47-51ced2403a29,10255
0ea81186-374c-4a4d-8d47-51ced2403a29,10246
0ea81186-374c-4a4d-8d47-51ced2403a29,10406
0ea81186-374c-4a4d-8d47-51ced2403a29,237566
0ea81186-374c-4a4d-8d47-51ced2403a29,10814
0ea81186-374c-4a4d-8d47-51ced2403a29,10975
0ea81186-374c-4a4d-8d47-51ced2403a29,11307
0ea81186-374c-4a4d-8d47-51ced2403a29,327585
0ea81186-374c-4a4d-8d47-51ced2403a29,11328
0ea81186-374c-4a4d-8d47-51ced2403a29,11331
0ea81186-374c-4a4d-8d47-51ced2403a29,11787
0ea81186-374c-4a4d-8d47-51ced2403a29,11807
0ea81186-374c-4a4d-8d47-51ced2403a29,11770
0ea81186-374c-4a4d-8d47-51ced2403a29,11754
0ea81186-374c-4a4d-8d47-51ced2403a29,255302
0ea81186-374c-4a4d-8d47-51ced2403a29,11963
0ea81186-374c-4a4d-8d47-51ced2403a29,12077
0ea81186-374c-4a4d-8d47-51ced2403a29,12145
0ea81186-374c-4a4d-8d47-51ced2403a29,12153
0ea81186-374c-4a4d-8d47-51ced2403a29,12149
0ea81186-374c-4a4d-8d47-51ced2403a29,12470
0ea81186-374c-4a4d-8d47-51ced2403a29,12474
0ea81186-374c-4a4d-8d47-51ced2403a29,12578
0ea81186-374c-4a4d-8d47-51ced2403a29,12980
0ea81186-374c-4a4d-8d47-51ced2403a29,263671
0ea81186-374c-4a4d-8d47-51ced2403a29,13199
